bestand_id,hogstkl_verdi,bonitet,treslag,arealm2,alder,DN,srhoydeo,srtrean,srgrflate,srvolmb,srvolub,AU,Ht40,height,yearly_height_growth,N_per_hectare,delta_N_per_hectare,G1,G2,volume_per_hectare,volume_per_hectare_next_year,volume_per_hectare_without_bark,volume,volume_next_year,volume_growth_next_year,volume_growth_factor,volume_without_bark,avg_price_m3,gross_value_standing_volume,gross_value_yearly_growth,years_to_maturity,volume_at_maturity,volume_at_maturity_without_bark,gross_value_at_maturity,NPV,carbon_stored,carbon_captured_next_year
1-260,4,11,Furu,26564,80,98,182.5588994,810.6420137,17.69446044,143.3687207,123.4638297,0,8.3,18.25588994,0.1770259998,810.6420137,-1.124078431,17.69446044,18.06320434,147.1535645,151.5036043,128.0236011,390.8987287,402.4541745,11.55544584,0.02956122647,340.0818939,691.2333333,235075.9411,6949.133133,1,410.477227,357.1151875,246849.9214,239660.1179,484176.9378,14312.86411
1-250,4,14,Gran,17996,60,104,190.5599564,1204.575606,23.99270999,194.3372259,167.1063114,0,10.1,19.05599564,0.2352079232,1204.575606,-13.4699417,23.99270999,24.46017284,198.2512587,205.1018245,172.4785951,356.7729652,369.1012433,12.32827811,0.03455496721,310.3924797,724.4666667,224869.0051,7770.341099,5,427.846913,372.2268143,269665.9194,232616.191,441907.914,15270.11348
1-253,5,11,Furu,24311,140,87,194.9313974,846.1516104,22.01822189,185.1505876,159.4793942,0,8.3,19.49313974,0.07796390757,846.1516104,-10.7161395,22.01822189,22.15813212,195.2571598,197.1986477,169.8737291,474.6896813,479.4096324,4.719951151,0.009943235207,412.9800227,691.2333333,285465.5577,2838.451184,0,474.6896813,412.9800227,285465.5577,285465.5577,587962.5065,5846.249495
1-226,4,14,Gran,46886,70,142,213.8520943,1364.45799,30.65255867,288.2948063,250.1237401,0,10.1,21.38520943,0.2161730226,1364.45799,-18.74168734,30.65255867,31.06446091,293.6603964,301.1131755,255.4845449,1376.856135,1411.799234,34.94309985,0.02537890414,1197.864837,724.4666667,867813.1456,22024.14663,1,1433.418082,1247.073732,903463.3494,877148.8829,1705408.43,43281.39705
1-238,5,8,Furu,10781,130,108,177.0386211,869.4730561,19.81039899,154.945597,132.9802114,0,5.6,17.70386211,0.08302704359,869.4730561,-1.710877536,19.81039899,20.02783229,161.2096391,163.6426047,140.252386,173.8001119,176.4230922,2.622980303,0.01509193679,151.2060973,683.5333333,103354.4077,1559.818189,0,173.8001119,151.2060973,103354.4077,103354.4077,215273.1636,3248.888978
1-233,5,11,Furu,10780,130,119,201.281924,890.4870923,23.01963749,200.9082443,173.2113691,0,8.3,20.1281924,0.08986392956,890.4870923,-9.204811499,23.01963749,23.19629965,209.6882198,212.1357553,182.4287512,226.043901,228.6823442,2.63844321,0.01167226012,196.6581938,691.2333333,135936.6989,1586.688509,0,226.043901,196.6581938,135936.6989,135936.6989,279983.6268,3268.041721
1-249,5,17,Gran,11391,80,97,233.2781099,1186.771362,31.9767385,314.0604665,272.6538493,0,13.1,23.32781099,0.1958084394,1186.771362,-32.36538799,31.9767385,32.31689729,335.260443,342.1254342,291.6765854,381.8951706,389.7150821,7.819911493,0.02047659173,332.2487984,732.8166667,243477.457,4985.588482,1,394.446439,343.1684019,251479.5244,244154.878,473024.9057,9685.937873
1-263,4,14,Furu,6216,70,69,194.9643534,1327.062064,27.38098848,238.2027555,205.4288963,0,11.1,19.49643534,0.2215097826,1327.062064,-7.915708207,27.38098848,27.8615351,237.7046798,244.3589258,206.8030714,147.7572289,151.8935083,4.136279356,0.0279937529,128.5487892,698.9333333,89847.03372,2515.15566,1,154.4392828,134.362176,93910.20357,91174.95492,183015.7977,5123.299017
1-261,4,17,Gran,30684,55,83,201.6646006,1368.814825,27.5582018,250.3788296,216.6148339,0,13.1,20.16646006,0.2746407654,1368.814825,-24.05860307,27.5582018,28.09450183,247.077429,255.9040012,214.9573632,758.1323832,785.2158371,27.08345397,0.03572391124,659.5751734,732.8166667,483347.68,17267.06962,6,941.3231328,818.9511255,600141.034,502608.6678,939041.7231,33546.24317
1-258,3,14,Gran,12749,55,74,187.4931047,1320.71398,23.8871707,195.7888431,168.3070277,0,10.1,18.74931047,0.2565983291,1320.71398,-14.4022976,23.8871707,24.40464858,194.7196964,202.1905974,169.4061359,248.248141,257.7727926,9.524651602,0.03836746396,215.9758826,724.4666667,156467.3278,6003.254559,9,343.3399403,298.705748,216402.3576,165854.3878,307486.3536,11797.47159
1-254,4,14,Furu,14613,60,79,187.9384878,1318.249216,26.04991437,212.5084956,183.2180384,0,11.1,18.79384878,0.2654991423,1318.249216,-4.315346904,26.04991437,26.64477182,217.9507334,225.7761875,189.6171381,318.4914067,329.9267428,11.43533609,0.0359046927,277.0875238,698.9333333,193665.7067,6953.507684,6,395.1002648,343.7372303,240249.4082,201205.097,394491.4186,14164.09316
